patent_id,inventor_id,company_id
11000000,fl:anika_ln:sato-00521,
11000001,fl:santosh_ln:sharma-00094,org:0002
11000001,fl:john_ln:martin-00310,org:0002
11000001,fl:min_ln:smith-01194,org:0002
11000001,fl:liam_ln:smith-00456,org:0002
11000001,fl:alice_ln:kumar-00857,org:0002
11000002,fl:alice_ln:garcia-00678,org:0019
11000003,fl:emma_ln:kumar-01145,org:0021
11000003,fl:liam_ln:garcia-00206,org:0021
11000004,fl:alice_ln:gupta-00436,org:0002
11000005,fl:hans_ln:sato-01189,org:0015
11000005,fl:hans_ln:sato-01189,org:0028
11000005,fl:fatima_ln:rossi-01134,org:0015
11000005,fl:fatima_ln:rossi-01134,org:0028
11000006,fl:chen_ln:kumar-00847,org:0003
11000006,fl:chen_ln:kumar-00847,org:0006
11000006,fl:noah_ln:dupont-01196,org:0003
11000006,fl:noah_ln:dupont-01196,org:0006
11000006,fl:rajesh_ln:park-01554,org:0003
11000006,fl:rajesh_ln:park-01554,org:0006
11000006,fl:priya_ln:johnson-00996,org:0003
11000006,fl:priya_ln:johnson-00996,org:0006
11000007,fl:rajesh_ln:zhang-00674,org:0009
11000007,fl:kenji_ln:khan-00208,org:0009
11000008,fl:oliver_ln:conti-01308,org:0013
11000008,fl:santosh_ln:esposito-00979,org:0013
11000009,fl:kenji_ln:li-01396,org:0019
11000009,fl:amelia_ln:gupta-01505,org:0019
11000010,fl:yuki_ln:tanaka-01307,
11000010,fl:ahmed_ln:davis-00210,
11000011,fl:oliver_ln:martin-01291,org:0012
11000011,fl:oliver_ln:martin-01291,org:0001
11000011,fl:hiroshi_ln:yamamoto-00784,org:0012
11000011,fl:hiroshi_ln:yamamoto-00784,org:0001
11000012,fl:fatima_ln:patel-01204,org:0018
11000012,fl:fatima_ln:martin-00518,org:0018
11000012,fl:liam_ln:rodriguez-00912,org:0018
11000013,fl:aisha_ln:sharma-00175,org:0004
11000014,fl:fatima_ln:schmidt-01591,org:0030
11000014,fl:oliver_ln:sato-00342,org:0030
11000015,fl:sakura_ln:garcia-01174,org:0028
11000015,fl:rajesh_ln:wilson-01235,org:0028
11000015,fl:alice_ln:kumar-01467,org:0028
11000015,fl:anika_ln:ali-00733,org:0028
11000016,fl:min_ln:ali-00571,org:0014
11000016,fl:ahmed_ln:ivanov-01199,org:0014
11000017,fl:mohammed_ln:wilson-00069,org:0017
11000017,fl:carlos_ln:zhang-00865,org:0017
11000018,fl:giulia_ln:chen-01601,org:0003
11000019,fl:greta_ln:yamamoto-00447,org:0002
11000019,fl:amelia_ln:park-01463,org:0002
11000019,fl:noah_ln:garcia-01472,org:0002
11000020,fl:min_ln:schmidt-00347,org:0010
11000020,fl:greta_ln:park-01256,org:0010
11000020,fl:olivia_ln:rossi-01039,org:0010
11000021,fl:hans_ln:tanaka-00060,
11000021,fl:giulia_ln:ferrari-01262,
